500	167	19.361665	39.920026
1000	334	28.546080	43.810679
1500	500	33.489870	45.026154
2000	667	34.432199	45.369578
2500	834	36.270303	45.178440
3000	1000	37.980406	45.371173
3500	1167	38.109898	45.487463
4000	1334	39.265194	45.496503
4500	1500	40.768558	45.682668
5000	1667	39.933741	45.576930
5500	1834	34.698638	45.584143
6000	2000	36.598848	45.621211
6500	2167	36.143413	45.675774
7000	2334	37.437915	45.244969
7500	2500	37.732005	45.614640
8000	2667	37.834851	45.573577
8500	2834	38.842934	45.637040
9000	3000	39.979343	45.575152
9500	3167	39.721837	45.871297
10000	3334	40.184934	45.610229
