500	250	0.004250	0.001085
1000	500	0.031108	0.006508
1500	750	0.051571	0.018508
2000	1000	0.105394	0.040235
2500	1250	0.205971	0.072377
3000	1500	0.315057	0.119698
3500	1750	0.876143	0.178976
4000	2000	1.047990	0.262710
4500	2250	1.298323	0.373724
5000	2500	1.850768	0.548205
5500	2750	2.231196	0.697957
6000	3000	2.544927	0.917250
6500	3250	2.853292	1.125837
7000	3500	3.284189	1.335731
7500	3750	3.752029	1.616479
8000	4000	4.154061	1.826265
8500	4250	4.688248	2.305484
9000	4500	5.282723	2.696594
9500	4750	5.785565	3.105996
10000	5000	6.538019	3.516505
10500	5250	7.303394	4.048635
11000	5500	8.038621	4.596724
11500	5750	8.978999	5.305841
12000	6000	10.046503	6.022204
12500	6250	10.905917	6.751978
13000	6500	12.162459	7.536593
13500	6750	13.284390	8.352556
14000	7000	14.405015	9.257600
14500	7250	15.653337	10.312181
15000	7500	17.155540	11.240033
15500	7750	18.257638	12.280974
16000	8000	19.377340	13.266909
16500	8250	22.099999	15.019074
17000	8500	23.761617	16.448367
17500	8750	25.622194	17.992193
18000	9000	27.538739	19.474773
18500	9250	29.004539	20.903639
19000	9500	31.218498	22.666674
19500	9750	33.563016	24.423844
20000	10000	35.888292	26.128197
20500	10250	38.260485	28.403103
21000	10500	40.592972	30.174540
21500	10750	42.883734	32.466711
22000	11000	45.835863	35.004681
22500	11250	49.265342	37.465254
23000	11500	52.223880	40.061099
23500	11750	55.775634	42.529794
24000	12000	59.367555	44.213300
24500	12250	62.692280	48.055094
25000	12500	65.348948	51.567449
25500	12750	69.293213	54.746373
26000	13000	72.957067	57.905015
26500	13250	76.113892	60.814889
27000	13500	79.981943	64.231528
27500	13750	84.815911	68.477780
28000	14000	88.568900	71.829276
28500	14250	93.267561	76.196620
29000	14500	97.757033	79.155895
29500	14750	100.981327	83.179215
30000	15000	106.455936	87.264384
